raw_xpath,suggested_xpath,correct
/ownershipDocument/d/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,TRUE
/ownershipDocument/d/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,TRUE
/ownershipDocument/deriv/derivativeHolding/exerciseDate/footnoteId/@id,/ownershipDocument/derivativeTable/derivativeHolding/exerciseDate/footnoteId/@id,TRUE
/ownershipDocument/deriv/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,TRUE
/ownershipDocument/deriv/derivativeHolding/securityTitle/footnoteId/@id,/ownershipDocument/derivativeTable/derivativeHolding/securityTitle/footnoteId/@id,TRUE
/ownershipDocument/deriv/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,TRUE
/ownershipDocument/deriv/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,TRUE
/ownershipDocument/derivativeT/derivativeHolding/exerciseDate/footnoteId/@id,/ownershipDocument/derivativeTable/derivativeHolding/exerciseDate/footnoteId/@id,TRUE
/ownershipDocument/derivativeT/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,TRUE
/ownershipDocument/derivativeT/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,TRUE
/ownershipDocument/derivativeT/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,TRUE
/ownershipDocument/derivativeTab/derivativeHolding/exerciseDate/footnoteId/@id,/ownershipDocument/derivativeTable/derivativeHolding/exerciseDate/footnoteId/@id,TRUE
/ownershipDocument/derivativeTab/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,TRUE
/ownershipDocument/derivativeTab/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,TRUE
/ownershipDocument/derivativeTab/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,TRUE
/ownershipDocument/derivativeTable/deriv/ownershipNature/natureOfOwnership/value,/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/natureOfOwnership/value,TRUE
/ownershipDocument/derivativeTable/deriva/underlyingSecurity/underlyingSecurityShares/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,TRUE
/ownershipDocument/derivativeTable/deriva/underlyingSecurity/underlyingSecurityTitle/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,TRUE
/ownershipDocument/n/nonDerivativeHolding/ownershipNature/directOrIndirectOwnership/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/ownershipNature/directOrIndirectOwnership/value,TRUE
/ownershipDocument/n/nonDerivativeHolding/postTransactionAmounts/sharesOwnedFollowingTransaction/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/postTransactionAmounts/sharesOwnedFollowingTransaction/value,TRUE
/ownershipDocument/nonDerivati/nonDerivativeHolding/ownershipNature/directOrIndirectOwnership/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/ownershipNature/directOrIndirectOwnership/value,TRUE
/ownershipDocument/nonDerivati/nonDerivativeHolding/ownershipNature/natureOfOwnership/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/ownershipNature/natureOfOwnership/value,TRUE
/ownershipDocument/nonDerivati/nonDerivativeHolding/postTransactionAmounts/sharesOwnedFollowingTransaction/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/postTransactionAmounts/sharesOwnedFollowingTransaction/value,TRUE
/ownershipDocument/nonDerivativeTab/nonDerivativeHolding/ownershipNature/directOrIndirectOwnership/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/ownershipNature/directOrIndirectOwnership/value,TRUE
/ownershipDocument/nonDerivativeTab/nonDerivativeHolding/ownershipNature/natureOfOwnership/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/ownershipNature/natureOfOwnership/value,TRUE
/ownershipDocument/nonDerivativeTab/nonDerivativeHolding/postTransactionAmounts/sharesOwnedFollowingTransaction/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/postTransactionAmounts/sharesOwnedFollowingTransaction/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOrIndirectOwnershi/value,/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,TRUE
/ownershipDocument/footnote/footnote/@id,/ownershipDocument/footnotes/footnote/@id,TRUE
/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/ownershipNature/natureOfOwnershi/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/ownershipNature/natureOfOwnership/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/exerciseDat/footnoteId/@id,/ownershipDocument/derivativeTable/derivativeHolding/exerciseDate/footnoteId/@id,TRUE
/ownershipDocument/d/derivativeHolding/conversionOrExercisePrice/value,/ownershipDocument/derivativeTable/derivativeHolding/conversionOrExercisePrice/value,TRUE
/ownershipDocument/d/derivativeHolding/exerciseDate/value,/ownershipDocument/derivativeTable/derivativeHolding/exerciseDate/value,TRUE
/ownershipDocument/d/derivativeHolding/expirationDate/value,/ownershipDocument/derivativeTable/derivativeHolding/expirationDate/value,TRUE
/ownershipDocument/d/derivativeHolding/securityTitle/value,/ownershipDocument/derivativeTable/derivativeHolding/securityTitle/value,TRUE
/ownershipDocument/deriv/derivativeHolding/conversionOrExercisePrice/value,/ownershipDocument/derivativeTable/derivativeHolding/conversionOrExercisePrice/value,TRUE
/ownershipDocument/deriv/derivativeHolding/exerciseDate/value,/ownershipDocument/derivativeTable/derivativeHolding/exerciseDate/value,TRUE
/ownershipDocument/deriv/derivativeHolding/expirationDate/value,/ownershipDocument/derivativeTable/derivativeHolding/expirationDate/value,TRUE
/ownershipDocument/deriv/derivativeHolding/securityTitle/value,/ownershipDocument/derivativeTable/derivativeHolding/securityTitle/value,TRUE
/ownershipDocument/derivativeSecurity/footnotes/footnote/@id,/ownershipDocument/footnotes/footnote/@id,TRUE
/ownershipDocument/derivativeT/derivativeHolding/conversionOrExercisePrice/value,/ownershipDocument/derivativeTable/derivativeHolding/conversionOrExercisePrice/value,TRUE
/ownershipDocument/derivativeT/derivativeHolding/exerciseDate/value,/ownershipDocument/derivativeTable/derivativeHolding/exerciseDate/value,TRUE
/ownershipDocument/derivativeT/derivativeHolding/expirationDate/value,/ownershipDocument/derivativeTable/derivativeHolding/expirationDate/value,TRUE
/ownershipDocument/derivativeT/derivativeHolding/securityTitle/value,/ownershipDocument/derivativeTable/derivativeHolding/securityTitle/value,TRUE
/ownershipDocument/derivativeTab/derivativeHolding/conversionOrExercisePrice/value,/ownershipDocument/derivativeTable/derivativeHolding/conversionOrExercisePrice/value,TRUE
